language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
C,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/Environment.h,0,0,0,0,failed_to_read,,,,,
C,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/Menu.h,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/PieMenu.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/Settings.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/WildcardCompare.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/XSurface.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,d7bc75ff75c32d28a2140675ffb1ef63f2a25977,src/main.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,b4e9ecf22d0b00e3475e77dab2593fd35a5b2236,src/Png.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,markusfisch-PieDock,b4e9ecf22d0b00e3475e77dab2593fd35a5b2236,src/WorkspaceLayout.cpp,0,0,0,0,failed_to_read,,,,,
Python,,meerk40t-svgelements,4f1934dc3abc1d6dcd3612fb6b860c1735a11e24,svgelements/svgelements.py,0,0,0,0,failed_to_read,,,,,
Python,,meerk40t-svgelements,56acbf2f8e65f627e2bae619b9d7b450c4839c05,svgelements/svgelements.py,0,0,0,0,failed_to_read,,,,,
C,,miguelmarco-libbraiding,637591f635ebaa7a0c4b2625b77cc6eeeffac4e6,lib/braiding.h,0,0,0,0,failed_to_read,,,,,
C,,miguelmarco-libbraiding,bcce55409be093e46a332bffb97c474679bd0235,lib/braiding.h,0,0,0,0,failed_to_read,,,,,
C,,miguelmarco-libbraiding,b6f22d7d7919d493a7128a74664e7eecfb2044b4,lib/braiding.h,0,0,0,0,failed_to_read,,,,,
CPP,,miguelmarco-libbraiding,b7f8c948befa1eb212b7c76d8f43f045b0394710,lib/braiding.cpp,0,0,0,0,failed_to_read,,,,,
CSharp,,mono-mono-basic,db2a3cb5ea195c59fd035404aa42c38747d52936,vbnc/cecil/symbols/pdb/Microsoft.Cci.Pdb/IntHashTable.cs,0,0,0,0,failed_to_read,,,,,
Go,,notaryproject-notary,b55ecf723a77e9834d96617e6ca9a553602024b9,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,345900,381417,161274,167801,timed_out,,,,,
C,,olivluca-vdr-actuator-plugin,7c46982ed2d86ec300788435207174327615c32b,actuator.c,0,0,0,0,failed_to_read,,,,,
CPP,,openscenegraph-OpenSceneGraph,6d207e2d8d9bce650d27aae35ddc4ff9636064de,src/osg/dxtctool.cpp,0,0,0,0,failed_to_read,,,,,
HTML,,pbiering-ipv6calc,eb751fa84da8c4e2952b7983be8cf47bc70db341,doc/ipv6calc.html,0,0,0,0,failed_to_read,,,,,
ShellScript,,poetaman-arttime,4e7465c51f6c8f56968068646696837dd412043a,share/arttime/src/arttime.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,poetaman-arttime,a65c37031596fa9f5c7233218f08fffb3fdd36e4,share/arttime/src/arttime.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,poetaman-arttime,dce77c0645218d51336651604642d1f9fb24c9b6,share/arttime/src/arttime.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,reujab-silver,7b3138a38d9c225788e624e593b968073dce04b2,src/init.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,roddhjav-pass-update,22122d5d45623f791a12900441b969a086f77e69,completion/pass-update.zsh,0,0,0,0,failed_to_read,,,,,
C,,rollinhand-libdbf,0e839ef1b499f23e8a8167d33a1846633a95fd24,src/dbf.c,0,0,0,0,failed_to_read,,,,,
C,,rollinhand-libdbf,d4e92880b22ee089472b6afe12a9653d82eb7488,include/libdbf/libdbf.h,0,0,0,0,failed_to_read,,,,,
ShellScript,,rossmacarthur-sheldon,703ffb195223af7c8d381c1be2c27ee387f5a2e9,completions/sheldon.zsh,0,0,0,0,failed_to_read,,,,,
CPP,,set-soft-tvision,b6101a3d31fa1dc9f7d7f64e0968e85fd8ac3db5,tvision/classes/wingr/wingrscr.cc,0,0,0,0,failed_to_read,,,,,
C,,set-soft-tvision,7cb04449a3936d1d24a16ff08d4844d0e0a148c8,tvision/include/tv/tvconfig.h,0,0,0,0,failed_to_read,,,,,
CPP,,set-soft-tvision,92b7449403280a6d1856b4eed95857015397a3c0,tvision/classes/tstringc.cc,0,0,0,0,failed_to_read,,,,,
