language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
Go,,full,,go-darylhjd-mangadesk-remove-a-function-uptade-comments,16482,16358,2430,2400,ok,5.595845000000001,891008,3410676,2430
Go,,full,,go-dweymouth-supersonic-remove-two-lines,4654,4579,1546,1528,ok,7.667006,865906,3411338,1546
Go,,stratified,,go-fatedier-frp-build-comment-insert-only,529,534,161,161,ok,0.295859,55808,209838,161
Go,,small,,go-gin-add-function,739,854,312,326,ok,1.539268,220088,715296,326
Go,,small,,go-gin-change-import,1193,1183,425,424,ok,1.102794,168998,618238,425
Go,,small,,go-gin-constant-change,2738,2737,678,678,ok,2.454751,315282,1172596,678
Go,,stratified,,go-gin-gonic-gin-one-space-removed-in-a-comment,234,233,18,18,ok,0.035656,7152,30046,18
Go,,stratified,,go-gin-gonic-gin-replace-replaced-with-replaceall,5373,5371,2486,2478,ok,23.872899999999998,2424398,7469062,2486
Go,,stratified,,go-gin-gonic-gin-update-version-string,249,249,18,18,ok,0.047915,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-,249,249,18,18,ok,0.040482000000000004,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-2,253,249,18,18,ok,0.041294000000000004,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-3,249,249,18,18,ok,0.040216999999999996,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-4,249,249,18,18,ok,0.040006,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-5,249,249,18,18,ok,0.040187,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-update-version-string-6,248,248,18,18,ok,0.038034000000000005,7312,30910,18
Go,,stratified,,go-gin-gonic-gin-whitespace-in-comment,728,727,234,234,ok,0.41727000000000003,110976,350092,234
Go,,stratified,,go-gohugoio-hugo-add-and-upadate-list-items,810,814,59,60,ok,0.515658,82832,329174,60
Go,,stratified,,go-gohugoio-hugo-update-and-add-list-items,868,872,69,70,ok,0.568908,83644,348582,70
Go,,stratified,,go-gohugoio-hugo-update-and-add-some-values,868,872,69,70,ok,0.565188,83644,348582,70
