language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
Java,10-30,MiniDNS-minidns,c45a1cbec889cb0c3f54281c82dec3e9adc14fdc,minidns-integration-test/src/test/java/org/minidns/integrationtest/IntegrationTestTest.java,22,22,44,640,640,51,51,ok,1.304246
Java,10-30,MiniDNS-minidns,e0a137f1dcc6fbcbce0d0d35c502bc3ec9f2c765,minidns-core/src/main/java/org/minidns/dnslabel/UnderscoreLabel.java,26,26,52,760,760,74,74,ok,2.9459809999999997
Java,10-30,MiniDNS-minidns,e0a137f1dcc6fbcbce0d0d35c502bc3ec9f2c765,minidns-dnssec/src/main/java/org/minidns/dnssec/DigestCalculator.java,15,15,30,513,513,40,40,ok,0.9606859999999999
Java,10-30,Pragmatists-JUnitParams,3d37a156c2533e5c05c7aaa770ebf72865510e55,src/main/java/junitparams/NamedParameters.java,24,24,48,636,656,61,61,ok,1.72182
Java,10-30,dita-ot-dita-ot,bf0657794f4acb9b7af47e19278ceaea95d37ee1,src/test/java/org/dita/dost/util/DITAOTCollatorTest.java,22,21,43,538,496,129,113,ok,10.863660000000001
Java,10-30,graeme-hill-crossguid,3d10be6c024ce5d544e71038747009f666cad049,android/src/ca/graemehill/crossguid/testapp/MainActivity.java,28,24,52,645,569,194,172,ok,24.797401999999998
Java,10-30,javaparser-javaparser,cf2e0d3279b70ca0b861648791656612f7bf8271,javaparser-core/src/main/java/com/github/javaparser/ast/validator/postprocessors/Java23PostProcessor.java,28,27,55,1066,1065,33,33,ok,0.007703999999999999
Java,10-30,javaparser-javaparser,fec4a2993258b4333e9a07639eee13051da43597,javaparser-core/src/main/java/com/github/javaparser/ast/validator/postprocessors/Java23PostProcessor.java,29,28,57,1067,1066,33,33,ok,0.012747
Java,10-30,jflex-de-jflex,34b526f2364bdd786beb235cd7714d788949a1e6,jflex/src/main/java/jflex/base/IntPair.java,28,28,56,541,551,93,93,ok,3.480402
Java,10-30,jflex-de-jflex,34b526f2364bdd786beb235cd7714d788949a1e6,jflex/src/main/java/jflex/exceptions/CharClassException.java,26,26,52,588,598,54,54,ok,1.175997
Java,10-30,jflex-de-jflex,6f26880988fe0d9eb2770b1372d188be90ca9bed,jflex/src/main/java/jflex/base/Build.java,17,17,34,393,403,54,54,ok,1.310081
Java,10-30,jflex-de-jflex,cf0a5eb2a9e78cc438d0bc95d20fe5d8f11b2209,jflex/src/main/java/jflex/exceptions/CharClassException.java,26,26,52,597,588,54,54,ok,2.069141
Java,10-30,jnr-jnr-constants,0ed8bb1272c67bb38e10be36881859ef0f6ee535,src/main/java/jnr/constants/platform/fake/Sock.java,19,21,40,634,669,210,224,ok,33.830803
Java,10-30,jtwig-jtwig-core,54937aaadcf7b973415fc96c8c58524cb092dfcb,src/main/java/org/jtwig/render/node/renderer/BlockNodeRender.java,25,28,53,1311,1535,364,429,ok,95.836732
Java,10-30,mikaelgrev-miglayout,39ab4d57117658e7b9fef0feeb0e5cd003ee11bf,core/src/main/java/net/miginfocom/layout/AlignY.java,5,15,20,95,386,32,106,ok,1.036561
Java,10-30,netplex-json-smart-v2,5efc9abca40632b3a95cce9222f2ae5fc8767bfb,json-smart-action/src/main/java/net/minidev/json/actions/navigate/JSONNavigateAction.java,16,15,31,421,421,63,63,ok,1.223225
Java,10-30,wrandelshofer-FastDoubleParser,4f8a1831d5d7ea2f643dae33e4aa8451a7674a91,fastdoubleparser-dev/src/main/java/ch.randelshofer.fastdoubleparser/ch/randelshofer/fastdoubleparser/chr/CharSetOfOne.java,21,21,42,513,519,143,145,ok,9.917104
Java,10-30,zeroc-ice-ice,59049d585865f74326e1ff85103de4f9491106f6,java/src/com.zeroc.glacier2/src/main/java/module-info.java,12,10,22,323,305,48,48,ok,0.754528
Java,100-300,LMAX-Exchange-disruptor,5eb647d1603c39f7f670cd718ef3e73b673c6488,src/main/java/com/lmax/disruptor/dsl/ConsumerRepository.java,150,128,278,5253,4489,952,792,ok,830.920655
